	English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust
1	abacus	0	0	0	0	0	0	0	0	0	1
2	abandon	0	0	0	1	0	1	0	1	0	0
3	abandoned	1	0	0	1	0	1	0	1	0	0
4	abandonment	1	0	0	1	0	1	0	1	1	0
7	abba	0	0	0	0	0	0	1	0	0	0
8	abbot	0	0	0	0	0	0	0	0	0	1
13	abduction	0	0	0	1	0	1	0	1	1	0
14	aberrant	0	0	0	0	0	1	0	0	0	0
15	aberration	0	0	1	0	0	1	0	0	0	0
17	abhor	1	0	1	1	0	1	0	0	0	0
18	abhorrent	1	0	1	1	0	1	0	0	0	0
20	ability	0	0	0	0	0	0	1	0	0	0
21	abject	0	0	1	0	0	1	0	0	0	0
24	abnormal	0	0	1	0	0	1	0	0	0	0
27	abolish	1	0	0	0	0	1	0	0	0	0
28	abolition	0	0	0	0	0	1	0	0	0	0
29	abominable	0	0	1	1	0	1	0	0	0	0
30	abomination	1	0	1	1	0	1	0	0	0	0
32	abort	0	0	0	0	0	1	0	0	0	0
33	abortion	0	0	1	1	0	1	0	1	0	0
34	abortive	0	0	0	0	0	1	0	1	0	0
36	abovementioned	0	0	0	0	0	0	1	0	0	0
37	abrasion	0	0	0	0	0	1	0	0	0	0
39	abrogate	0	0	0	0	0	1	0	0	0	0
40	abrupt	0	0	0	0	0	0	0	0	1	0
42	abscess	0	0	0	0	0	1	0	1	0	0
43	absence	0	0	0	1	0	1	0	1	0	0
44	absent	0	0	0	0	0	1	0	1	0	0
45	absentee	0	0	0	0	0	1	0	1	0	0
46	absenteeism	0	0	0	0	0	1	0	0	0	0
48	absolute	0	0	0	0	0	0	1	0	0	0
49	absolution	0	0	0	0	1	0	1	0	0	1
50	absorbed	0	0	0	0	0	0	1	0	0	0
59	absurd	0	0	0	0	0	1	0	0	0	0
60	absurdity	0	0	0	0	0	1	0	0	0	0
61	abundance	0	1	1	0	1	1	1	0	0	1
62	abundant	0	0	0	0	1	0	1	0	0	0
63	abuse	1	0	1	1	0	1	0	1	0	0
66	abysmal	0	0	0	0	0	1	0	1	0	0
67	abyss	0	0	0	1	0	1	0	1	0	0
68	academic	0	0	0	0	0	0	1	0	0	1
69	academy	0	0	0	0	0	0	1	0	0	0
71	accelerate	0	1	0	0	0	0	0	0	0	0
